namespace,name,url,lang,route_count,browser_routes,config_required_routes,anti_crawler_routes,categories
005,幻之羁绊动漫网,005.tv,zh-CN,1,0,0,0,anime
0818tuan,0818 团,0818tuan.com,zh-CN,1,0,0,0,shopping
0x80,Wojciech Muła,0x80.pl,en,1,0,0,0,blog
0xxx,0xxx.ws,0xxx.ws,en,1,0,0,0,multimedia
10000link,10000万联网,10000link.com,zh-CN,1,0,0,0,new-media
10jqka,同花顺财经,10jqka.com.cn,zh-CN,1,0,0,0,finance
121,深圳台风网,121.com.cn,zh-CN,1,0,0,0,forecast
12306,12306,kyfw.12306.cn,zh-CN,2,0,0,0,travel
12371,共产党员网,www.12371.cn,zh-CN,1,0,0,0,
141jav,141JAV,141jav.com,en,1,0,0,0,multimedia
141ppv,141PPV,141ppv.com,en,1,0,0,0,multimedia
163,网易公开课,163.com,zh-CN,6,0,0,1,game;new-media
18comic,禁漫天堂,18comic.org,zh-CN,4,0,0,4,anime
19lou,19 楼,19lou.com,zh-CN,1,0,0,0,bbs
1lou,BT 之家 1LOU 站,1lou.me,zh-CN,2,0,0,0,multimedia
1point3acres,一亩三分地,blog.1point3acres.com,zh-CN,5,0,0,0,bbs
1x,1x.com,1x.com,en,1,0,0,0,design
2023game,游戏星辰,www.2023game.com,zh-CN,1,0,0,0,game
2048,2048 核基地,hjd2048.com,zh-CN,1,0,0,0,multimedia
21caijing,21财经,21caijing.com,,1,0,0,0,finance
2cycd,二次元虫洞,2cycd.com,zh-CN,1,0,0,0,bbs
30secondsofcode,30 Seconds of code,www.30secondsofcode.org,en,2,0,0,0,programming
36kr,36kr,36kr.com,zh-CN,2,0,0,0,new-media
3dmgame,3DMGame,3dmgame.com,zh-CN,2,0,0,0,game
3gmuseum,Chongqing China Three Gorges Museum,www.3gmuseum.cn,,1,0,0,0,travel
3kns,3k-Switch游戏库,www.3kns.com,zh-CN,1,0,0,0,game
423down,423Down,423down.com,zh-CN,1,0,0,0,program-update
4399,4399,www.4399.com,zh-CN,1,0,1,0,game
4chan,4chan,4chan.org,en,1,0,0,0,bbs
4gamers,4Gamers,www.4gamers.com.tw,zh-TW,4,0,0,0,game
4khd,4KHD,www.4khd.com,en,2,0,0,0,picture
4ksj,4k 世界,4ksj.com,zh-CN,1,0,0,0,multimedia
4kup,4KUP,4kup.net,en,4,0,0,0,picture
500px,500px 摄影社区,500px.com.cn,zh-CN,1,0,0,0,picture
50forum,经济 50 人论坛,50forum.org.cn,zh-CN,1,0,0,0,study
51cto,51CTO,51cto.com,zh-CN,1,0,0,0,programming
51read,51Read,m.51read.org,zh-CN,1,0,0,0,reading
52hrtt,52hrtt 华人头条,52hrtt.com,zh-CN,2,0,0,0,new-media
56kog,明月中文网,56kog.com,zh-CN,2,0,0,0,reading
591,591 Rental house,rent.591.com.tw,zh-TW,1,0,0,0,other
5eplay,5EPLAY,csgo.5eplay.com,zh-CN,1,0,0,0,game
5music,五大唱片,5music.com.tw,zh-TW,1,0,0,0,shopping
69shu,69书吧,69shuba.cx,zh-CN,1,0,0,0,reading
6park,留园网,club.6parkbbs.com,zh-CN,2,0,0,0,new-media
6v123,6v 电影,hao6v.cc,zh-CN,3,0,0,0,multimedia
78dm,78 动漫,78dm.net,zh-CN,1,0,0,0,new-media
7gogo,755,7gogo.jp,ja,1,0,0,0,social-media
7mmtv,7mmtv,7mmtv.tv,zh-CN,1,0,0,1,multimedia
8264,8264,8264.com,zh-CN,1,0,0,0,bbs
8kcos,8KCosplay,8kcosplay.com,zh-CN,3,0,0,0,picture
8world,8 视界,8world.com,zh-CN,2,0,0,0,new-media
91porn,91porn,91porn.com,zh-CN,2,0,0,2,multimedia
95mm,MM 范,95mm.org,zh-CN,3,0,0,0,picture
98zhibo,98直播吧,www.98zhibo.com,zh-CN,1,0,0,0,sport
99percentinvisible,99% Invisible,99percentinvisible.org,en,1,0,0,0,multimedia
9to5,9To5,9to5toys.com,en,1,0,0,0,new-media
a9vg,A9VG 电玩部落,a9vg.com,zh-CN,1,0,0,0,game
aa1,夏柔,aa1.cn,zh-CN,1,0,0,0,new-media
aamacau,論盡媒體 AllAboutMacau Media,aamacau.com,zh-HK,1,0,0,0,new-media
abc,ABC News (Australian Broadcasting Corporation),abc.net.au,en,1,0,0,0,traditional-media
abmedia,链新闻 ABMedia,www.abmedia.io,zh-TW,2,0,0,0,new-media
abskoop,A 姐分享,nsfw.abskoop.com,zh-TW,2,0,0,0,multimedia
academia,Academia,www.academia.edu,en,1,0,0,0,journal
accessbriefing,Access Briefing,accessbriefing.com,en,1,0,0,0,new-media
acfun,AcFun,www.acfun.cn,zh-CN,3,0,0,0,anime
acg17,ACG17,acg17.com,zh-CN,1,0,0,0,anime
acgvinyl,ACG Vinyl - 黑胶,www.acgvinyl.com,,1,0,0,0,anime
acm,Association for Computing Machinery (ACM),amturing.acm.org,en,1,0,0,0,programming
acpaa,中华全国专利代理师协会,acpaa.cn,zh-CN,1,0,0,0,other
acs,ACS Publications,pubs.acs.org,en,1,0,0,0,journal
acwifi,路由器技术分享,www.acwifi.net,zh-CN,1,0,0,1,other
adquan,广告门,adquan.com,zh-CN,2,0,0,0,new-media
aeaweb,American Economic Association,aeaweb.org,en,1,0,0,0,journal
aeon,AEON,aeon.co,en,2,0,0,0,new-media
afdian,爱发电,afdian.net,zh-CN,2,0,0,0,other
aflcio,American Federation of Labor and Congress of Industrial Organizations (AFL-CIO),aflcio.org,en,1,0,0,0,other
afr,The Australian Financial Review,afr.com,en,2,0,0,0,traditional-media
agefans,AGE 动漫,agemys.cc,zh-CN,2,0,0,0,anime
agirls,电獭少女,agirls.aotter.net,zh-TW,3,0,0,0,new-media
agora0,AG⓪RA,agorahub.github.io,en,2,0,0,0,new-media
agri,中国农业农村信息网,agri.cn,zh-CN,1,0,0,0,new-media
ahau,安徽农业大学,ahau.edu.cn,zh-CN,3,0,0,0,university
ahjzu,安徽建筑大学,news.ahjzu.edu.cn,zh-CN,1,0,0,0,university
ahmu,安徽医科大学,yjsxy.ahmu.edu.cn,zh-CN,1,0,0,0,university
ahstu,安徽科技工程大学,ahstu.edu.cn,zh-CN,1,0,0,1,university
ahut,安徽工业大学,www.ahut.edu.cn,zh-CN,3,0,0,0,university
ai-bot,AI工具集,ai-bot.cn,zh-CN,1,0,0,0,new-media
aiaa,AIAA Aerospace Research Central,arc.aiaa.org,en,1,0,0,0,journal
aibase,AIbase,aibase.com,zh-CN,4,0,0,0,new-media
aiblog-2xv,AI 博客,aiblog-2xv.pages.dev,zh-CN,1,0,0,0,blog
aicaijing,AI 财经社,www.aicaijing.com,zh-CN,4,0,0,0,finance
aiea,Asian Innovation and Entrepreneurship Association,www.aiea.org,en,1,0,0,0,study
aijishu,极术社区,www.aijishu,zh-CN,1,0,0,0,programming
ainvest,AInvest,ainvest.com,en,2,0,0,0,finance
aip,American Institute of Physics,pubs.aip.org,en,1,0,0,0,journal
air-level,Air-Level,air-level.com,zh-CN,2,0,0,0,
airchina,中国国际航空公司,www.airchina.com.cn,zh-CN,1,0,0,0,travel
aisixiang,爱思想,aisixiang.com,zh-CN,4,0,0,0,reading
ajcass,社科期刊网,ajcass.com,zh-CN,1,0,0,0,journal
ajmide,阿基米德 FM,m.ajmide.com,zh-CN,1,0,0,0,multimedia
ali213,游侠网,ali213.net,zh-CN,2,0,0,0,game
alicesoft,ALICESOFT,www.alicesoft.com,ja,1,0,0,0,game
alipan,阿里云盘,www.alipan.com,zh-CN,1,0,0,0,
aliresearch,阿里研究院,aliresearch.com,zh-CN,1,0,0,0,new-media
alistapart,A List Apart,alistapart.com,en,2,0,0,0,programming
aliyun,阿里云,developer.aliyun.com,zh-CN,2,0,0,0,programming
aljazeera,Aljazeera,aljazeera.com,en,3,0,0,0,traditional-media
allbrightlaw,锦天城律师事务所,www.allbrightlaw.com,zh-CN,1,0,0,0,other
