namespace,namespace_name,namespace_url,namespace_lang,route_path,route_name,category,uses_browser,requirePuppeteer_flag,anti_crawler,require_config_vars,file
005,幻之羁绊动漫网,005.tv,zh-CN,/005/:category?,资讯,anime,False,False,False,,lib/routes/005/index.tsx
0818tuan,0818 团,0818tuan.com,zh-CN,/0818tuan/:listId?,分类,shopping,False,False,False,,lib/routes/0818tuan/index.ts
0x80,Wojciech Muła,0x80.pl,en,/0x80/blog,Articles,blog,False,False,False,,lib/routes/0x80/index.ts
0xxx,0xxx.ws,0xxx.ws,en,/0xxx/:filter?,Source,multimedia,False,False,False,,lib/routes/0xxx/index.ts
10000link,10000万联网,10000link.com,zh-CN,/10000link/info/:category?/:id?,新闻,new-media,False,False,False,,lib/routes/10000link/info.ts
10jqka,同花顺财经,10jqka.com.cn,zh-CN,/10jqka/realtimenews/:tag?,7×24小时要闻直播,finance,False,False,False,,lib/routes/10jqka/realtimenews.ts
121,深圳台风网,121.com.cn,zh-CN,/121/weatherLive,深圳天气直播,forecast,False,False,False,,lib/routes/121/weather-live.tsx
12306,12306,kyfw.12306.cn,zh-CN,/12306/:date/:from/:to/:type?,售票信息,travel,False,False,False,,lib/routes/12306/index.tsx
12306,12306,kyfw.12306.cn,zh-CN,/12306/zxdt/:id?,最新动态,travel,False,False,False,,lib/routes/12306/zxdt.ts
12371,共产党员网,www.12371.cn,zh-CN,/12371/:category?,最新发布,,False,False,False,,lib/routes/12371/zxfb.ts
141jav,141JAV,141jav.com,en,/141jav/:type/:keyword{.+}?,通用,multimedia,False,False,False,,lib/routes/141jav/index.tsx
141ppv,141PPV,141ppv.com,en,/141ppv/:type/:keyword{.+}?,通用,multimedia,False,False,False,,lib/routes/141ppv/index.tsx
163,网易公开课,163.com,zh-CN,/163/ds/:id,用户发帖,game,False,False,False,,lib/routes/163/ds.tsx
163,网易公开课,163.com,zh-CN,/163/dy/:id,更新,new-media,False,False,False,,lib/routes/163/dy.ts
163,网易公开课,163.com,zh-CN,/163/dy2/:id,网易号（通用）,new-media,False,False,True,,lib/routes/163/dy2.ts
163,网易公开课,163.com,zh-CN,/163/exclusive/:id?,栏目,new-media,False,False,False,,lib/routes/163/exclusive.ts
163,网易公开课,163.com,zh-CN,/163/renjian/:category?,人间,new-media,False,False,False,,lib/routes/163/renjian.ts
163,网易公开课,163.com,zh-CN,/163/today/:need_content?,今日关注,new-media,False,False,False,,lib/routes/163/today.ts
18comic,禁漫天堂,18comic.org,zh-CN,/18comic/album/:id,专辑,anime,False,False,True,,lib/routes/18comic/album.ts
18comic,禁漫天堂,18comic.org,zh-CN,/18comic/blogs/:category?,文庫,anime,False,False,True,,lib/routes/18comic/blogs.ts
18comic,禁漫天堂,18comic.org,zh-CN,/18comic/:category?/:time?/:order?/:keyword?,成人 A 漫,anime,False,False,True,,lib/routes/18comic/index.ts
18comic,禁漫天堂,18comic.org,zh-CN,/18comic/search/:option?/:category?/:keyword?/:time?/:order?,搜索,anime,False,False,True,,lib/routes/18comic/search.ts
19lou,19 楼,19lou.com,zh-CN,/19lou/:city?,头条,bbs,False,False,False,,lib/routes/19lou/index.ts
1lou,BT 之家 1LOU 站,1lou.me,zh-CN,/1lou/:params{.+}?,通用,multimedia,False,False,False,,lib/routes/1lou/index.ts
1lou,BT 之家 1LOU 站,1lou.me,zh-CN,/1lou/search/:params,搜索,multimedia,False,False,False,,lib/routes/1lou/search.ts
1point3acres,一亩三分地,blog.1point3acres.com,zh-CN,/1point3acres/blog/:category?,博客,bbs,False,False,False,,lib/routes/1point3acres/blog.ts
1point3acres,一亩三分地,blog.1point3acres.com,zh-CN,/1point3acres/category/:id?/:type?/:order?,标签,bbs,False,False,False,,lib/routes/1point3acres/category.ts
1point3acres,一亩三分地,blog.1point3acres.com,zh-CN,/1point3acres/offer/:year?/:major?/:school?,录取结果,bbs,False,False,False,,lib/routes/1point3acres/offer.tsx
1point3acres,一亩三分地,blog.1point3acres.com,zh-CN,/1point3acres/section/:id?/:type?/:order?,分区,bbs,False,False,False,,lib/routes/1point3acres/section.ts
1point3acres,一亩三分地,blog.1point3acres.com,zh-CN,/1point3acres/thread/:type?/:order?,帖子,bbs,False,False,False,,lib/routes/1point3acres/thread.ts
1x,1x.com,1x.com,en,/1x/:category{.+}?,Gallery,design,False,False,False,,lib/routes/1x/index.tsx
2023game,游戏星辰,www.2023game.com,zh-CN,/2023game/:category?/:tab?,游戏星辰,game,False,False,False,,lib/routes/2023game/index.ts
2048,2048 核基地,hjd2048.com,zh-CN,/2048/:id?,论坛,multimedia,False,False,False,,lib/routes/2048/index.tsx
21caijing,21财经,21caijing.com,,/21caijing/channel/:name{.+}?,频道,finance,False,False,False,,lib/routes/21caijing/channel.ts
2cycd,二次元虫洞,2cycd.com,zh-CN,/2cycd/:fid/:sort?,板块,bbs,False,False,False,,lib/routes/2cycd/index.ts
30secondsofcode,30 Seconds of code,www.30secondsofcode.org,en,/30secondsofcode/category/:category?/:subCategory?,Category and Subcategory,programming,False,False,False,,lib/routes/30secondsofcode/category.ts
30secondsofcode,30 Seconds of code,www.30secondsofcode.org,en,/30secondsofcode/latest,New & Popular Snippets,programming,False,False,False,,lib/routes/30secondsofcode/new-and-popular.ts
36kr,36kr,36kr.com,zh-CN,/36kr/hot-list/:category?,资讯热榜,new-media,False,False,False,,lib/routes/36kr/hot-list.ts
